k,ct,n,h,td,p_pw
0,ELECTRICITY,GERMANY,22,12,11.03
0,ELECTRICITY,GERMANY,23,1,11.03
0,ELECTRICITY,GERMANY,23,2,11.03
0,ELECTRICITY,GERMANY,23,3,11.03
0,ELECTRICITY,GERMANY,23,4,11.03
0,ELECTRICITY,GERMANY,23,5,11.03
0,ELECTRICITY,GERMANY,23,6,11.03
0,ELECTRICITY,GERMANY,23,7,11.03
0,ELECTRICITY,GERMANY,23,8,11.03
0,ELECTRICITY,GERMANY,23,9,11.03
0,ELECTRICITY,GERMANY,23,10,11.03
0,ELECTRICITY,GERMANY,23,11,11.03
0,ELECTRICITY,GERMANY,23,12,11.03
0,ELECTRICITY,GERMANY,24,1,11.03
0,ELECTRICITY,GERMANY,24,2,11.03
0,ELECTRICITY,GERMANY,24,3,11.03
0,ELECTRICITY,GERMANY,24,4,11.03
0,ELECTRICITY,GERMANY,24,5,11.03
0,ELECTRICITY,GERMANY,24,6,11.03
0,ELECTRICITY,GERMANY,24,7,11.03
0,ELECTRICITY,GERMANY,24,8,11.03
0,ELECTRICITY,GERMANY,24,9,11.03
0,ELECTRICITY,GERMANY,24,10,11.03
0,ELECTRICITY,GERMANY,24,11,11.03
0,ELECTRICITY,GERMANY,24,12,11.03
0,HEAT_HIGH_T,GERMANY,1,1,11.03
0,HEAT_HIGH_T,GERMANY,1,2,11.03
0,HEAT_HIGH_T,GERMANY,1,3,11.03
0,HEAT_HIGH_T,GERMANY,1,4,11.03
0,HEAT_HIGH_T,GERMANY,1,5,11.03
0,HEAT_HIGH_T,GERMANY,1,6,11.03
0,HEAT_HIGH_T,GERMANY,1,7,11.03
0,HEAT_HIGH_T,GERMANY,1,8,11.03
0,HEAT_HIGH_T,GERMANY,1,9,11.03
0,HEAT_HIGH_T,GERMANY,1,10,11.03
0,HEAT_HIGH_T,GERMANY,1,11,11.03
0,HEAT_HIGH_T,GERMANY,1,12,11.03
0,HEAT_HIGH_T,GERMANY,2,1,11.03
0,HEAT_HIGH_T,GERMANY,2,2,11.03
0,HEAT_HIGH_T,GERMANY,2,3,11.03
0,HEAT_HIGH_T,GERMANY,2,4,11.03
0,HEAT_HIGH_T,GERMANY,2,5,11.03
0,HEAT_HIGH_T,GERMANY,2,6,11.03
0,HEAT_HIGH_T,GERMANY,2,7,11.03
0,HEAT_HIGH_T,GERMANY,2,8,11.03
0,HEAT_HIGH_T,GERMANY,2,9,11.03
0,HEAT_HIGH_T,GERMANY,2,10,11.03
0,HEAT_HIGH_T,GERMANY,2,11,11.03
0,HEAT_HIGH_T,GERMANY,2,12,11.03
0,HEAT_HIGH_T,GERMANY,3,1,11.03
0,HEAT_HIGH_T,GERMANY,3,2,11.03
0,HEAT_HIGH_T,GERMANY,3,3,11.03
0,HEAT_HIGH_T,GERMANY,3,4,11.03
0,HEAT_HIGH_T,GERMANY,3,5,11.03
0,HEAT_HIGH_T,GERMANY,3,6,11.03
0,HEAT_HIGH_T,GERMANY,3,7,11.03
0,HEAT_HIGH_T,GERMANY,3,8,11.03
0,HEAT_HIGH_T,GERMANY,3,9,11.03
0,HEAT_HIGH_T,GERMANY,3,10,11.03
0,HEAT_HIGH_T,GERMANY,3,11,11.03
0,HEAT_HIGH_T,GERMANY,3,12,11.03
0,HEAT_HIGH_T,GERMANY,4,1,11.03
0,HEAT_HIGH_T,GERMANY,4,2,11.03
0,HEAT_HIGH_T,GERMANY,4,3,11.03
0,HEAT_HIGH_T,GERMANY,4,4,11.03
0,HEAT_HIGH_T,GERMANY,4,5,11.03
0,HEAT_HIGH_T,GERMANY,4,6,11.03
0,HEAT_HIGH_T,GERMANY,4,7,11.03
0,HEAT_HIGH_T,GERMANY,4,8,11.03
0,HEAT_HIGH_T,GERMANY,4,9,11.03
0,HEAT_HIGH_T,GERMANY,4,10,11.03
0,HEAT_HIGH_T,GERMANY,4,11,11.03
0,HEAT_HIGH_T,GERMANY,4,12,11.03
0,HEAT_HIGH_T,GERMANY,5,1,11.03
0,HEAT_HIGH_T,GERMANY,5,2,11.03
0,HEAT_HIGH_T,GERMANY,5,3,11.03
0,HEAT_HIGH_T,GERMANY,5,4,11.03
0,HEAT_HIGH_T,GERMANY,5,5,11.03
0,HEAT_HIGH_T,GERMANY,5,6,11.03
0,HEAT_HIGH_T,GERMANY,5,7,11.03
0,HEAT_HIGH_T,GERMANY,5,8,11.03
0,HEAT_HIGH_T,GERMANY,5,9,11.03
0,HEAT_HIGH_T,GERMANY,5,10,11.03
0,HEAT_HIGH_T,GERMANY,5,11,11.03
0,HEAT_HIGH_T,GERMANY,5,12,11.03
0,HEAT_HIGH_T,GERMANY,6,1,11.03
0,HEAT_HIGH_T,GERMANY,6,2,11.03
0,HEAT_HIGH_T,GERMANY,6,3,11.03
0,HEAT_HIGH_T,GERMANY,6,4,11.03
0,HEAT_HIGH_T,GERMANY,6,5,11.03
0,HEAT_HIGH_T,GERMANY,6,6,11.03
0,HEAT_HIGH_T,GERMANY,6,7,11.03
0,HEAT_HIGH_T,GERMANY,6,8,11.03
0,HEAT_HIGH_T,GERMANY,6,9,11.03
0,HEAT_HIGH_T,GERMANY,6,10,11.03
0,HEAT_HIGH_T,GERMANY,6,11,11.03
0,HEAT_HIGH_T,GERMANY,6,12,11.03
0,HEAT_HIGH_T,GERMANY,7,1,11.03
0,HEAT_HIGH_T,GERMANY,7,2,11.03
0,HEAT_HIGH_T,GERMANY,7,3,11.03
0,HEAT_HIGH_T,GERMANY,7,4,11.03
0,HEAT_HIGH_T,GERMANY,7,5,11.03
0,HEAT_HIGH_T,GERMANY,7,6,11.03
0,HEAT_HIGH_T,GERMANY,7,7,11.03
0,HEAT_HIGH_T,GERMANY,7,8,11.03
0,HEAT_HIGH_T,GERMANY,7,9,11.03
0,HEAT_HIGH_T,GERMANY,7,10,11.03
0,HEAT_HIGH_T,GERMANY,7,11,11.03
0,HEAT_HIGH_T,GERMANY,7,12,11.03
0,HEAT_HIGH_T,GERMANY,8,1,11.03
0,HEAT_HIGH_T,GERMANY,8,2,11.03
0,HEAT_HIGH_T,GERMANY,8,3,11.03
0,HEAT_HIGH_T,GERMANY,8,4,11.03
0,HEAT_HIGH_T,GERMANY,8,5,11.03
0,HEAT_HIGH_T,GERMANY,8,6,11.03
0,HEAT_HIGH_T,GERMANY,8,7,11.03
0,HEAT_HIGH_T,GERMANY,8,8,11.03
0,HEAT_HIGH_T,GERMANY,8,9,11.03
0,HEAT_HIGH_T,GERMANY,8,10,11.03
0,HEAT_HIGH_T,GERMANY,8,11,11.03
0,HEAT_HIGH_T,GERMANY,8,12,11.03
0,HEAT_HIGH_T,GERMANY,9,1,11.03
0,HEAT_HIGH_T,GERMANY,9,2,11.03
0,HEAT_HIGH_T,GERMANY,9,3,11.03
0,HEAT_HIGH_T,GERMANY,9,4,11.03
0,HEAT_HIGH_T,GERMANY,9,5,11.03
0,HEAT_HIGH_T,GERMANY,9,6,11.03
0,HEAT_HIGH_T,GERMANY,9,7,11.03
0,HEAT_HIGH_T,GERMANY,9,8,11.03
0,HEAT_HIGH_T,GERMANY,9,9,11.03
0,HEAT_HIGH_T,GERMANY,9,10,11.03
0,HEAT_HIGH_T,GERMANY,9,11,11.03
0,HEAT_HIGH_T,GERMANY,9,12,11.03
0,HEAT_HIGH_T,GERMANY,10,1,11.03
0,HEAT_HIGH_T,GERMANY,10,2,11.03
0,HEAT_HIGH_T,GERMANY,10,3,11.03
0,HEAT_HIGH_T,GERMANY,10,4,11.03
0,HEAT_HIGH_T,GERMANY,10,5,11.03
0,HEAT_HIGH_T,GERMANY,10,6,11.03
0,HEAT_HIGH_T,GERMANY,10,7,11.03
0,HEAT_HIGH_T,GERMANY,10,8,11.03
0,HEAT_HIGH_T,GERMANY,10,9,11.03
0,HEAT_HIGH_T,GERMANY,10,10,11.03
0,HEAT_HIGH_T,GERMANY,10,11,11.03
0,HEAT_HIGH_T,GERMANY,10,12,11.03
0,HEAT_HIGH_T,GERMANY,11,1,11.03
0,HEAT_HIGH_T,GERMANY,11,2,11.03
0,HEAT_HIGH_T,GERMANY,11,3,11.03
0,HEAT_HIGH_T,GERMANY,11,4,11.03
0,HEAT_HIGH_T,GERMANY,11,5,11.03
0,HEAT_HIGH_T,GERMANY,11,6,11.03
0,HEAT_HIGH_T,GERMANY,11,7,11.03
0,HEAT_HIGH_T,GERMANY,11,8,11.03
0,HEAT_HIGH_T,GERMANY,11,9,11.03
0,HEAT_HIGH_T,GERMANY,11,10,11.03
0,HEAT_HIGH_T,GERMANY,11,11,11.03
0,HEAT_HIGH_T,GERMANY,11,12,11.03
0,HEAT_HIGH_T,GERMANY,12,1,11.03
0,HEAT_HIGH_T,GERMANY,12,2,11.03
0,HEAT_HIGH_T,GERMANY,12,3,11.03
0,HEAT_HIGH_T,GERMANY,12,4,11.03
0,HEAT_HIGH_T,GERMANY,12,5,11.03
0,HEAT_HIGH_T,GERMANY,12,6,11.03
0,HEAT_HIGH_T,GERMANY,12,7,11.03
0,HEAT_HIGH_T,GERMANY,12,8,11.03
0,HEAT_HIGH_T,GERMANY,12,9,11.03
0,HEAT_HIGH_T,GERMANY,12,10,11.03
0,HEAT_HIGH_T,GERMANY,12,11,11.03
0,HEAT_HIGH_T,GERMANY,12,12,11.03
0,HEAT_HIGH_T,GERMANY,13,1,11.03
0,HEAT_HIGH_T,GERMANY,13,2,11.03
0,HEAT_HIGH_T,GERMANY,13,3,11.03
0,HEAT_HIGH_T,GERMANY,13,4,11.03
0,HEAT_HIGH_T,GERMANY,13,5,11.03
0,HEAT_HIGH_T,GERMANY,13,6,11.03
0,HEAT_HIGH_T,GERMANY,13,7,11.03
0,HEAT_HIGH_T,GERMANY,13,8,11.03
0,HEAT_HIGH_T,GERMANY,13,9,11.03
0,HEAT_HIGH_T,GERMANY,13,10,11.03
0,HEAT_HIGH_T,GERMANY,13,11,11.03
0,HEAT_HIGH_T,GERMANY,13,12,11.03
0,HEAT_HIGH_T,GERMANY,14,1,11.03
0,HEAT_HIGH_T,GERMANY,14,2,11.03
0,HEAT_HIGH_T,GERMANY,14,3,11.03
0,HEAT_HIGH_T,GERMANY,14,4,11.03
0,HEAT_HIGH_T,GERMANY,14,5,11.03
0,HEAT_HIGH_T,GERMANY,14,6,11.03
0,HEAT_HIGH_T,GERMANY,14,7,11.03
0,HEAT_HIGH_T,GERMANY,14,8,11.03
0,HEAT_HIGH_T,GERMANY,14,9,11.03
0,HEAT_HIGH_T,GERMANY,14,10,11.03
0,HEAT_HIGH_T,GERMANY,14,11,11.03
0,HEAT_HIGH_T,GERMANY,14,12,11.03
0,HEAT_HIGH_T,GERMANY,15,1,11.03
0,HEAT_HIGH_T,GERMANY,15,2,11.03
0,HEAT_HIGH_T,GERMANY,15,3,11.03
0,HEAT_HIGH_T,GERMANY,15,4,11.03
0,HEAT_HIGH_T,GERMANY,15,5,11.03
0,HEAT_HIGH_T,GERMANY,15,6,11.03
0,HEAT_HIGH_T,GERMANY,15,7,11.03
0,HEAT_HIGH_T,GERMANY,15,8,11.03
0,HEAT_HIGH_T,GERMANY,15,9,11.03
0,HEAT_HIGH_T,GERMANY,15,10,11.03
0,HEAT_HIGH_T,GERMANY,15,11,11.03
0,HEAT_HIGH_T,GERMANY,15,12,11.03
0,HEAT_HIGH_T,GERMANY,16,1,11.03
0,HEAT_HIGH_T,GERMANY,16,2,11.03
0,HEAT_HIGH_T,GERMANY,16,3,11.03
0,HEAT_HIGH_T,GERMANY,16,4,11.03
0,HEAT_HIGH_T,GERMANY,16,5,11.03
0,HEAT_HIGH_T,GERMANY,16,6,11.03
0,HEAT_HIGH_T,GERMANY,16,7,11.03
0,HEAT_HIGH_T,GERMANY,16,8,11.03
0,HEAT_HIGH_T,GERMANY,16,9,11.03
0,HEAT_HIGH_T,GERMANY,16,10,11.03
0,HEAT_HIGH_T,GERMANY,16,11,11.03
0,HEAT_HIGH_T,GERMANY,16,12,11.03
0,HEAT_HIGH_T,GERMANY,17,1,11.03
0,HEAT_HIGH_T,GERMANY,17,2,11.03
0,HEAT_HIGH_T,GERMANY,17,3,11.03
0,HEAT_HIGH_T,GERMANY,17,4,11.03
0,HEAT_HIGH_T,GERMANY,17,5,11.03
0,HEAT_HIGH_T,GERMANY,17,6,11.03
0,HEAT_HIGH_T,GERMANY,17,7,11.03
0,HEAT_HIGH_T,GERMANY,17,8,11.03
0,HEAT_HIGH_T,GERMANY,17,9,11.03
0,HEAT_HIGH_T,GERMANY,17,10,11.03
0,HEAT_HIGH_T,GERMANY,17,11,11.03
0,HEAT_HIGH_T,GERMANY,17,12,11.03
0,HEAT_HIGH_T,GERMANY,18,1,11.03
0,HEAT_HIGH_T,GERMANY,18,2,11.03
0,HEAT_HIGH_T,GERMANY,18,3,11.03
0,HEAT_HIGH_T,GERMANY,18,4,11.03
0,HEAT_HIGH_T,GERMANY,18,5,11.03
0,HEAT_HIGH_T,GERMANY,18,6,11.03
0,HEAT_HIGH_T,GERMANY,18,7,11.03
0,HEAT_HIGH_T,GERMANY,18,8,11.03
0,HEAT_HIGH_T,GERMANY,18,9,11.03
0,HEAT_HIGH_T,GERMANY,18,10,11.03
0,HEAT_HIGH_T,GERMANY,18,11,11.03
0,HEAT_HIGH_T,GERMANY,18,12,11.03
0,HEAT_HIGH_T,GERMANY,19,1,11.03
0,HEAT_HIGH_T,GERMANY,19,2,11.03
0,HEAT_HIGH_T,GERMANY,19,3,11.03
0,HEAT_HIGH_T,GERMANY,19,4,11.03
0,HEAT_HIGH_T,GERMANY,19,5,11.03
0,HEAT_HIGH_T,GERMANY,19,6,11.03
0,HEAT_HIGH_T,GERMANY,19,7,11.03
0,HEAT_HIGH_T,GERMANY,19,8,11.03
0,HEAT_HIGH_T,GERMANY,19,9,11.03
0,HEAT_HIGH_T,GERMANY,19,10,11.03
0,HEAT_HIGH_T,GERMANY,19,11,11.03
0,HEAT_HIGH_T,GERMANY,19,12,11.03
0,HEAT_HIGH_T,GERMANY,20,1,11.03
0,HEAT_HIGH_T,GERMANY,20,2,11.03
0,HEAT_HIGH_T,GERMANY,20,3,11.03
0,HEAT_HIGH_T,GERMANY,20,4,11.03
0,HEAT_HIGH_T,GERMANY,20,5,11.03
0,HEAT_HIGH_T,GERMANY,20,6,11.03
0,HEAT_HIGH_T,GERMANY,20,7,11.03
0,HEAT_HIGH_T,GERMANY,20,8,11.03
0,HEAT_HIGH_T,GERMANY,20,9,11.03
0,HEAT_HIGH_T,GERMANY,20,10,11.03
0,HEAT_HIGH_T,GERMANY,20,11,11.03
0,HEAT_HIGH_T,GERMANY,20,12,11.03
