ct,n,h,td,d_ref
HEAT_HIGH_T,GERMANY,5,8,23.65296803652969
HEAT_HIGH_T,GERMANY,5,9,23.65296803652969
HEAT_HIGH_T,GERMANY,5,10,23.65296803652969
HEAT_HIGH_T,GERMANY,5,11,23.65296803652969
HEAT_HIGH_T,GERMANY,5,12,23.65296803652969
HEAT_HIGH_T,GERMANY,6,1,23.65296803652969
HEAT_HIGH_T,GERMANY,6,2,23.65296803652969
HEAT_HIGH_T,GERMANY,6,3,23.65296803652969
HEAT_HIGH_T,GERMANY,6,4,23.65296803652969
HEAT_HIGH_T,GERMANY,6,5,23.65296803652969
HEAT_HIGH_T,GERMANY,6,6,23.65296803652969
HEAT_HIGH_T,GERMANY,6,7,23.65296803652969
HEAT_HIGH_T,GERMANY,6,8,23.65296803652969
HEAT_HIGH_T,GERMANY,6,9,23.65296803652969
HEAT_HIGH_T,GERMANY,6,10,23.65296803652969
HEAT_HIGH_T,GERMANY,6,11,23.65296803652969
HEAT_HIGH_T,GERMANY,6,12,23.65296803652969
HEAT_HIGH_T,GERMANY,7,1,23.65296803652969
HEAT_HIGH_T,GERMANY,7,2,23.65296803652969
HEAT_HIGH_T,GERMANY,7,3,23.65296803652969
HEAT_HIGH_T,GERMANY,7,4,23.65296803652969
HEAT_HIGH_T,GERMANY,7,5,23.65296803652969
HEAT_HIGH_T,GERMANY,7,6,23.65296803652969
HEAT_HIGH_T,GERMANY,7,7,23.65296803652969
HEAT_HIGH_T,GERMANY,7,8,23.65296803652969
HEAT_HIGH_T,GERMANY,7,9,23.65296803652969
HEAT_HIGH_T,GERMANY,7,10,23.65296803652969
HEAT_HIGH_T,GERMANY,7,11,23.65296803652969
HEAT_HIGH_T,GERMANY,7,12,23.65296803652969
HEAT_HIGH_T,GERMANY,8,1,23.65296803652969
HEAT_HIGH_T,GERMANY,8,2,23.65296803652969
HEAT_HIGH_T,GERMANY,8,3,23.65296803652969
HEAT_HIGH_T,GERMANY,8,4,23.65296803652969
HEAT_HIGH_T,GERMANY,8,5,23.65296803652969
HEAT_HIGH_T,GERMANY,8,6,23.65296803652969
HEAT_HIGH_T,GERMANY,8,7,23.65296803652969
HEAT_HIGH_T,GERMANY,8,8,23.65296803652969
HEAT_HIGH_T,GERMANY,8,9,23.65296803652969
