k,ct,n,h,td,D
1,ELECTRICITY,GERMANY,24,1,62.17252722955536
1,ELECTRICITY,GERMANY,24,2,62.52043447536602
1,ELECTRICITY,GERMANY,24,3,60.78274822038804
1,ELECTRICITY,GERMANY,24,4,59.07628728540949
1,ELECTRICITY,GERMANY,24,5,58.81319854796356
1,ELECTRICITY,GERMANY,24,6,58.36348666818702
1,ELECTRICITY,GERMANY,24,7,57.25282950511886
1,ELECTRICITY,GERMANY,24,8,56.95879574677581
1,ELECTRICITY,GERMANY,24,9,58.70102284721152
1,ELECTRICITY,GERMANY,24,10,58.807312266814655
1,ELECTRICITY,GERMANY,24,11,57.80501873670685
1,ELECTRICITY,GERMANY,24,12,60.57678443999674
1,HEAT_HIGH_T,GERMANY,1,1,22.470319634703202
1,HEAT_HIGH_T,GERMANY,1,2,22.470319634703202
1,HEAT_HIGH_T,GERMANY,1,3,22.470319634703202
1,HEAT_HIGH_T,GERMANY,1,4,22.470319634703202
1,HEAT_HIGH_T,GERMANY,1,5,22.470319634703202
1,HEAT_HIGH_T,GERMANY,1,6,22.470319634703202
1,HEAT_HIGH_T,GERMANY,1,7,22.470319634703202
1,HEAT_HIGH_T,GERMANY,1,8,22.470319634703202
1,HEAT_HIGH_T,GERMANY,1,9,22.470319634703202
1,HEAT_HIGH_T,GERMANY,1,10,22.470319634703202
1,HEAT_HIGH_T,GERMANY,1,11,22.470319634703202
1,HEAT_HIGH_T,GERMANY,1,12,22.470319634703202
1,HEAT_HIGH_T,GERMANY,2,1,22.470319634703202
1,HEAT_HIGH_T,GERMANY,2,2,22.470319634703202
1,HEAT_HIGH_T,GERMANY,2,3,22.470319634703202
1,HEAT_HIGH_T,GERMANY,2,4,22.470319634703202
1,HEAT_HIGH_T,GERMANY,2,5,22.470319634703202
1,HEAT_HIGH_T,GERMANY,2,6,22.470319634703202
1,HEAT_HIGH_T,GERMANY,2,7,22.470319634703202
1,HEAT_HIGH_T,GERMANY,2,8,22.470319634703202
1,HEAT_HIGH_T,GERMANY,2,9,22.470319634703202
1,HEAT_HIGH_T,GERMANY,2,10,22.470319634703202
1,HEAT_HIGH_T,GERMANY,2,11,22.470319634703202
1,HEAT_HIGH_T,GERMANY,2,12,22.470319634703202
1,HEAT_HIGH_T,GERMANY,3,1,22.470319634703202
1,HEAT_HIGH_T,GERMANY,3,2,22.470319634703202
1,HEAT_HIGH_T,GERMANY,3,3,22.470319634703202
1,HEAT_HIGH_T,GERMANY,3,4,22.470319634703202
1,HEAT_HIGH_T,GERMANY,3,5,22.470319634703202
1,HEAT_HIGH_T,GERMANY,3,6,22.470319634703202
1,HEAT_HIGH_T,GERMANY,3,7,22.470319634703202
1,HEAT_HIGH_T,GERMANY,3,8,22.470319634703202
1,HEAT_HIGH_T,GERMANY,3,9,22.470319634703202
1,HEAT_HIGH_T,GERMANY,3,10,22.470319634703202
1,HEAT_HIGH_T,GERMANY,3,11,22.470319634703202
1,HEAT_HIGH_T,GERMANY,3,12,22.470319634703202
1,HEAT_HIGH_T,GERMANY,4,1,22.470319634703202
1,HEAT_HIGH_T,GERMANY,4,2,22.470319634703202
1,HEAT_HIGH_T,GERMANY,4,3,22.470319634703202
1,HEAT_HIGH_T,GERMANY,4,4,22.470319634703202
1,HEAT_HIGH_T,GERMANY,4,5,22.470319634703202
