ct,n,h,td,p_ref
HEAT_HIGH_T,GERMANY,12,8,0.031665799
HEAT_HIGH_T,GERMANY,12,9,0.031665799
HEAT_HIGH_T,GERMANY,12,10,0.031665799
HEAT_HIGH_T,GERMANY,12,11,0.031665799
HEAT_HIGH_T,GERMANY,12,12,0.031665799
HEAT_HIGH_T,GERMANY,13,1,0.031665799
HEAT_HIGH_T,GERMANY,13,2,0.031665799
HEAT_HIGH_T,GERMANY,13,3,0.031665799
HEAT_HIGH_T,GERMANY,13,4,0.031665799
HEAT_HIGH_T,GERMANY,13,5,0.031665799
HEAT_HIGH_T,GERMANY,13,6,0.031665799
HEAT_HIGH_T,GERMANY,13,7,0.031665799
HEAT_HIGH_T,GERMANY,13,8,0.031665799
HEAT_HIGH_T,GERMANY,13,9,0.031665799
HEAT_HIGH_T,GERMANY,13,10,0.031665799
HEAT_HIGH_T,GERMANY,13,11,0.031665799
HEAT_HIGH_T,GERMANY,13,12,0.031665799
HEAT_HIGH_T,GERMANY,14,1,0.031665799
HEAT_HIGH_T,GERMANY,14,2,0.031665799
HEAT_HIGH_T,GERMANY,14,3,0.031665799
HEAT_HIGH_T,GERMANY,14,4,0.031665799
HEAT_HIGH_T,GERMANY,14,5,0.031665799
HEAT_HIGH_T,GERMANY,14,6,0.031665799
HEAT_HIGH_T,GERMANY,14,7,0.031665799
HEAT_HIGH_T,GERMANY,14,8,0.031665799
HEAT_HIGH_T,GERMANY,14,9,0.031665799
HEAT_HIGH_T,GERMANY,14,10,0.031665799
HEAT_HIGH_T,GERMANY,14,11,0.031665799
HEAT_HIGH_T,GERMANY,14,12,0.031665799
HEAT_HIGH_T,GERMANY,15,1,0.031665799
HEAT_HIGH_T,GERMANY,15,2,0.031665799
HEAT_HIGH_T,GERMANY,15,3,0.031665799
HEAT_HIGH_T,GERMANY,15,4,0.031665799
HEAT_HIGH_T,GERMANY,15,5,0.031665799
HEAT_HIGH_T,GERMANY,15,6,0.031665799
HEAT_HIGH_T,GERMANY,15,7,0.031665799
HEAT_HIGH_T,GERMANY,15,8,0.031665799
HEAT_HIGH_T,GERMANY,15,9,0.031665799
HEAT_HIGH_T,GERMANY,15,10,0.031665799
HEAT_HIGH_T,GERMANY,15,11,0.031665799
HEAT_HIGH_T,GERMANY,15,12,0.031665799
HEAT_HIGH_T,GERMANY,16,1,0.031665799
HEAT_HIGH_T,GERMANY,16,2,0.031665799
HEAT_HIGH_T,GERMANY,16,3,0.031665799
HEAT_HIGH_T,GERMANY,16,4,0.031665799
HEAT_HIGH_T,GERMANY,16,5,0.031665799
HEAT_HIGH_T,GERMANY,16,6,0.031665799
HEAT_HIGH_T,GERMANY,16,7,0.031665799
HEAT_HIGH_T,GERMANY,16,8,0.031665799
HEAT_HIGH_T,GERMANY,16,9,0.031665799
HEAT_HIGH_T,GERMANY,16,10,0.031665799
HEAT_HIGH_T,GERMANY,16,11,0.031665799
HEAT_HIGH_T,GERMANY,16,12,0.031665799
HEAT_HIGH_T,GERMANY,17,1,0.031665799
HEAT_HIGH_T,GERMANY,17,2,0.031665799
HEAT_HIGH_T,GERMANY,17,3,0.031665799
HEAT_HIGH_T,GERMANY,17,4,0.031665799
HEAT_HIGH_T,GERMANY,17,5,0.031665799
HEAT_HIGH_T,GERMANY,17,6,0.031665799
HEAT_HIGH_T,GERMANY,17,7,0.031665799
HEAT_HIGH_T,GERMANY,17,8,0.031665799
HEAT_HIGH_T,GERMANY,17,9,0.031665799
HEAT_HIGH_T,GERMANY,17,10,0.031665799
HEAT_HIGH_T,GERMANY,17,11,0.031665799
HEAT_HIGH_T,GERMANY,17,12,0.031665799
HEAT_HIGH_T,GERMANY,18,1,0.031665799
HEAT_HIGH_T,GERMANY,18,2,0.031665799
HEAT_HIGH_T,GERMANY,18,3,0.031665799
HEAT_HIGH_T,GERMANY,18,4,0.031665799
HEAT_HIGH_T,GERMANY,18,5,0.031665799
HEAT_HIGH_T,GERMANY,18,6,0.031665799
HEAT_HIGH_T,GERMANY,18,7,0.031665799
HEAT_HIGH_T,GERMANY,18,8,0.031665799
HEAT_HIGH_T,GERMANY,18,9,0.031665799
HEAT_HIGH_T,GERMANY,18,10,0.031665799
HEAT_HIGH_T,GERMANY,18,11,0.031665799
HEAT_HIGH_T,GERMANY,18,12,0.031665799
HEAT_HIGH_T,GERMANY,19,1,0.031665799
HEAT_HIGH_T,GERMANY,19,2,0.031665799
HEAT_HIGH_T,GERMANY,19,3,0.031665799
HEAT_HIGH_T,GERMANY,19,4,0.031665799
HEAT_HIGH_T,GERMANY,19,5,0.031665799
HEAT_HIGH_T,GERMANY,19,6,0.031665799
HEAT_HIGH_T,GERMANY,19,7,0.031665799
HEAT_HIGH_T,GERMANY,19,8,0.031665799
HEAT_HIGH_T,GERMANY,19,9,0.031665799
HEAT_HIGH_T,GERMANY,19,10,0.031665799
HEAT_HIGH_T,GERMANY,19,11,0.031665799
HEAT_HIGH_T,GERMANY,19,12,0.031665799
HEAT_HIGH_T,GERMANY,20,1,0.031665799
HEAT_HIGH_T,GERMANY,20,2,0.031665799
HEAT_HIGH_T,GERMANY,20,3,0.031665799
HEAT_HIGH_T,GERMANY,20,4,0.031665799
HEAT_HIGH_T,GERMANY,20,5,0.031665799
HEAT_HIGH_T,GERMANY,20,6,0.031665799
HEAT_HIGH_T,GERMANY,20,7,0.031665799
HEAT_HIGH_T,GERMANY,20,8,0.031665799
HEAT_HIGH_T,GERMANY,20,9,0.031665799
HEAT_HIGH_T,GERMANY,20,10,0.031665799
HEAT_HIGH_T,GERMANY,20,11,0.031665799
HEAT_HIGH_T,GERMANY,20,12,0.031665799
