pt,p,layers_in_out
DHN_COGEN_BIO_HYDROLYSIS,HEAT_HIGH_T,0.0
DHN_COGEN_BIO_HYDROLYSIS,HEAT_LOW_T_DECEN,0.0
DHN_COGEN_BIO_HYDROLYSIS,HEAT_LOW_T_DHN,1.0
DHN_COGEN_BIO_HYDROLYSIS,LFO,0.0
DHN_COGEN_BIO_HYDROLYSIS,RES_GEO,0.0
DHN_COGEN_BIO_HYDROLYSIS,RES_HYDRO,0.0
DHN_COGEN_BIO_HYDROLYSIS,RES_SOLAR,0.0
DHN_COGEN_BIO_HYDROLYSIS,RES_WIND,0.0
DHN_COGEN_BIO_HYDROLYSIS,URANIUM,0.0
DHN_COGEN_BIO_HYDROLYSIS,WASTE,0.0
DHN_COGEN_BIO_HYDROLYSIS,WET_BIOMASS,-2.99
DHN_COGEN_BIO_HYDROLYSIS,WOOD,0.0
DHN_COGEN_GAS,AMMONIA,0.0
DHN_COGEN_GAS,COAL,0.0
DHN_COGEN_GAS,ELECTRICITY,1.25
DHN_COGEN_GAS,GAS,-2.5
DHN_COGEN_GAS,H2,0.0
DHN_COGEN_GAS,HEAT_HIGH_T,0.0
DHN_COGEN_GAS,HEAT_LOW_T_DECEN,0.0
DHN_COGEN_GAS,HEAT_LOW_T_DHN,1.0
DHN_COGEN_GAS,LFO,0.0
DHN_COGEN_GAS,RES_GEO,0.0
DHN_COGEN_GAS,RES_HYDRO,0.0
DHN_COGEN_GAS,RES_SOLAR,0.0
DHN_COGEN_GAS,RES_WIND,0.0
DHN_COGEN_GAS,URANIUM,0.0
DHN_COGEN_GAS,WASTE,0.0
DHN_COGEN_GAS,WET_BIOMASS,0.0
DHN_COGEN_GAS,WOOD,0.0
DHN_COGEN_WASTE,AMMONIA,0.0
DHN_COGEN_WASTE,COAL,0.0
DHN_COGEN_WASTE,ELECTRICITY,0.44
DHN_COGEN_WASTE,GAS,0.0
DHN_COGEN_WASTE,H2,0.0
DHN_COGEN_WASTE,HEAT_HIGH_T,0.0
DHN_COGEN_WASTE,HEAT_LOW_T_DECEN,0.0
DHN_COGEN_WASTE,HEAT_LOW_T_DHN,1.0
DHN_COGEN_WASTE,LFO,0.0
DHN_COGEN_WASTE,RES_GEO,0.0
DHN_COGEN_WASTE,RES_HYDRO,0.0
DHN_COGEN_WASTE,RES_SOLAR,0.0
DHN_COGEN_WASTE,RES_WIND,0.0
DHN_COGEN_WASTE,URANIUM,0.0
DHN_COGEN_WASTE,WASTE,-2.22
DHN_COGEN_WASTE,WET_BIOMASS,0.0
DHN_COGEN_WASTE,WOOD,0.0
DHN_COGEN_WET_BIOMASS,AMMONIA,0.0
DHN_COGEN_WET_BIOMASS,COAL,0.0
DHN_COGEN_WET_BIOMASS,ELECTRICITY,0.83
DHN_COGEN_WET_BIOMASS,GAS,0.0
DHN_COGEN_WET_BIOMASS,H2,0.0
DHN_COGEN_WET_BIOMASS,HEAT_HIGH_T,0.0
DHN_COGEN_WET_BIOMASS,HEAT_LOW_T_DECEN,0.0
DHN_COGEN_WET_BIOMASS,HEAT_LOW_T_DHN,1.0
DHN_COGEN_WET_BIOMASS,LFO,0.0
DHN_COGEN_WET_BIOMASS,RES_GEO,0.0
DHN_COGEN_WET_BIOMASS,RES_HYDRO,0.0
DHN_COGEN_WET_BIOMASS,RES_SOLAR,0.0
DHN_COGEN_WET_BIOMASS,RES_WIND,0.0
DHN_COGEN_WET_BIOMASS,URANIUM,0.0
DHN_COGEN_WET_BIOMASS,WASTE,0.0
DHN_COGEN_WET_BIOMASS,WET_BIOMASS,-6.38
DHN_COGEN_WET_BIOMASS,WOOD,0.0
DHN_COGEN_WOOD,AMMONIA,0.0
DHN_COGEN_WOOD,COAL,0.0
DHN_COGEN_WOOD,ELECTRICITY,0.34
DHN_COGEN_WOOD,GAS,0.0
DHN_COGEN_WOOD,H2,0.0
DHN_COGEN_WOOD,HEAT_HIGH_T,0.0
DHN_COGEN_WOOD,HEAT_LOW_T_DECEN,0.0
DHN_COGEN_WOOD,HEAT_LOW_T_DHN,1.0
DHN_COGEN_WOOD,LFO,0.0
DHN_COGEN_WOOD,RES_GEO,0.0
DHN_COGEN_WOOD,RES_HYDRO,0.0
DHN_COGEN_WOOD,RES_SOLAR,0.0
DHN_COGEN_WOOD,RES_WIND,0.0
DHN_COGEN_WOOD,URANIUM,0.0
DHN_COGEN_WOOD,WASTE,0.0
DHN_COGEN_WOOD,WET_BIOMASS,0.0
DHN_COGEN_WOOD,WOOD,-1.89
DHN_DEEP_GEO,AMMONIA,0.0
DHN_DEEP_GEO,COAL,0.0
DHN_DEEP_GEO,ELECTRICITY,0.0
DHN_DEEP_GEO,GAS,0.0
DHN_DEEP_GEO,H2,0.0
DHN_DEEP_GEO,HEAT_HIGH_T,0.0
DHN_DEEP_GEO,HEAT_LOW_T_DECEN,0.0
DHN_DEEP_GEO,HEAT_LOW_T_DHN,1.0
DHN_DEEP_GEO,LFO,0.0
DHN_DEEP_GEO,RES_GEO,-1.0
DHN_DEEP_GEO,RES_HYDRO,0.0
DHN_DEEP_GEO,RES_SOLAR,0.0
DHN_DEEP_GEO,RES_WIND,0.0
DHN_DEEP_GEO,URANIUM,0.0
DHN_DEEP_GEO,WASTE,0.0
DHN_DEEP_GEO,WET_BIOMASS,0.0
DHN_DEEP_GEO,WOOD,0.0
DHN_HP_ELEC,AMMONIA,0.0
DHN_HP_ELEC,COAL,0.0
DHN_HP_ELEC,ELECTRICITY,-0.25
DHN_HP_ELEC,GAS,0.0
DHN_HP_ELEC,H2,0.0
DHN_HP_ELEC,HEAT_HIGH_T,0.0
DHN_HP_ELEC,HEAT_LOW_T_DECEN,0.0
DHN_HP_ELEC,HEAT_LOW_T_DHN,1.0
DHN_HP_ELEC,LFO,0.0
DHN_HP_ELEC,RES_GEO,0.0
DHN_HP_ELEC,RES_HYDRO,0.0
DHN_HP_ELEC,RES_SOLAR,0.0
